Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
1695573,6,Evelyn  Green,16019 TIMBER VALLEY DR,,HOUSTON,77070,HARRIS,Listed Family Home,0,7/30/19,Full,Y,,,,,,,,,,
1695579,3,Kami's Home Daycare,5609 CREEKHOLLOW DR,,ARLINGTON,76018,TARRANT,Licensed Child-Care Home,12,3/11/20,Full,Y,,,,,,,,,,
1695582,3,Patricia  De Hoyos,522 SAN PEDRO ST,,GRAND PRAIRIE,75051,DALLAS,Listed Family Home,0,8/2/19,Full,N,Closed,,,,,,,,,
1695584,3,Groove Learning Ctr Farmersville,697A STATE HIGHWAY 78 S,,FARMERSVILLE,75442,COLLIN,Licensed Center - Child Care Program,34,4/6/20,Full,Y,,,,,,,,,,
1695585,6,Argelis Rangel DeCianci,28711 PLEASANT CREEK CT,,FULSHEAR,77494,FORT BEND,Registered Child-Care Home,12,8/27/19,Full,N,,,,,,,,,,
1695586,5,Jean M. Jenschke,2420 BOSTON AVE,,NEDERLAND,77627,JEFFERSON,Listed Family Home,3,8/12/19,Full,Y,,,,,,,,,,
1695592,6,Bel Nafegar Sanchez Elementary,1721 STERLING LAKES WEST DRIVE,,ROSHARON,77583,BRAZORIA,Licensed Center - Before/After School Program,60,2/21/20,Full,Y,,,,,,,,,,
1695593,11,Veronica  Ramos,707 E BEECH ST,,PHARR,78577,HIDALGO,Listed Family Home,0,9/19/19,Full,N,,,,,,,,,,
1695597,6,Grace Christian Academy,1208 PENICK RD,,WALLER,77484,WALLER,Licensed Center - Child Care Program,50,1/30/20,Full,Y,,,,,,,,,,
1695624,6,YMCA @ Leonard,2602 WINCHESTER TRAIL,,KATY,77493,HARRIS,Licensed Center - Before/After School Program,60,1/10/20,Full,Y,,,,,,,,,,
1695640,7,Tiny Texans Daycare,117 PAIGE BND,,HUTTO,78634,WILLIAMSON,Licensed Child-Care Home,12,1/9/20,Full,Y,,,,,,,,,,
1695644,3,Little Cubs,425 N CHURCH ST,,BLUE RIDGE,75424,COLLIN,Licensed Center - Child Care Program,34,1/31/20,Full,Y,,,,,,,,,,
1695647,8,"Just Kids Academy, LLC",310 PFEIL RD,,CIBOLO,78108,GUADALUPE,Licensed Center - Child Care Program,30,9/5/19,Full,Y,,,,,,,,,,
1695650,3,Bobbie  Parks,6217 CREEK CROSSING RD,,ALVARADO,76009,JOHNSON,Listed Family Home,0,9/5/19,Full,N,,,,,Closed,,,,,
1695652,6,Kiddie Academy of Harmony,3653 LEXINGTON BLVD,,SPRING,77386,MONTGOMERY,Licensed Center - Child Care Program,227,2/4/20,Full,Y,,,,,,,,,,
1695654,6,Redeemer Methodist Childrens Program,18218 HIGHWAY 6,,MANVEL,77578,BRAZORIA,Licensed Center - Child Care Program,85,3/2/20,Full,Y,,,,,,,,,,
1695656,3,Carma Greene,706 MACGREGOR DR,,GRAND PRAIRIE,75050,DALLAS,Registered Child-Care Home,11,9/30/19,Full,Y,,,,,,,,,,
1695657,6,LaPorte ISD Early Childhood Center,4301 EAST BLVD,,DEER PARK,77536,HARRIS,Licensed Center - Child Care Program,204,2/20/20,Full,Y,,,,,,,,,,
1695658,11,New Beginnings Daycare Center,1571 E STENGER ST,,SAN BENITO,78586,CAMERON,Licensed Center - Child Care Program,73,3/18/20,Full,Y,,,,,,,,,,
1695659,8,Julie Baldo Salvador,21231 VILLA VALENCIA,,SAN ANTONIO,78258,BEXAR,Listed Family Home,3,9/5/19,Full,Y,,,,,,,,,,
1695661,6,Heavens Angels Learning Center,3235 DARTMOUTH FIELD LN,,FRESNO,77545,FORT BEND,Licensed Child-Care Home,12,2/21/20,Full,Y,,,,,,,,,,
1695666,3,First Steps Kids Academy,1212 S GRANTS LN,,FORT WORTH,76108,TARRANT,Licensed Center - Child Care Program,51,2/10/20,Full,Y,,,,,,,,,,
1695679,8,Caroljane Ancheta,2813 RIDGE BERRY RD,,NEW BRAUNFELS,78130,GUADALUPE,Registered Child-Care Home,12,9/9/19,Full,Y,,,,,,,,,,
1695680,3,Lakisha  Anderson,7110 CHAMBERS CREEK LN,,ARLINGTON,76002,TARRANT,Listed Family Home,3,8/7/19,Full,N,Closed,,,,,,,,,
1695692,6,Adventures of Learning,6629 BELLFORT ST,,HOUSTON,77087,HARRIS,Licensed Center - Child Care Program,35,10/4/19,Full,Y,,,,,,,,,,
1695693,7,Debbie L Alexander,11604 JACKSON FALLS WAY,,MANOR,78653,TRAVIS,Registered Child-Care Home,12,8/23/19,Full,Y,,,,,,,,,,
1695711,7,PFISD Delco Elementary  EDP,12900 DESSAU RD,STE A,AUSTIN,78754,TRAVIS,Licensed Center - Before/After School Program,108,1/31/20,Full,Y,,,,,,,,,,
1695712,2,Melinda Tucker,905 N AVENUE E,,HASKELL,79521,HASKELL,Listed Family Home,3,8/13/19,Full,Y,,,,,,,,,,
1695714,6,Computer Kids Barker Cypress,6495 BARKER CYPRESS RD,STE E,HOUSTON,77084,HARRIS,Licensed Center - Child Care Program,70,7/15/20,Full,N,Closed,,,,,,,,,
1695716,1,Katherine Snider,718 PEACH AVE,,DALHART,79022,DALLAM,Registered Child-Care Home,12,10/16/19,Full,Y,,,,,,,,,,
1695717,3,Upbring Head Start Cleburne,602 OLIVE ST,,CLEBURNE,76031,JOHNSON,Licensed Center - Child Care Program,97,1/24/20,Full,Y,,,,,,,,,,
1695718,6,Little Loves Paradise,18590 ENGLIN RD,,WINNIE,77665,CHAMBERS,Licensed Child-Care Home,12,3/17/20,Full,Y,,,,,,,,,,
1695740,2,Little Folks School,723 W TEXAS AVE,,IOWA PARK,76367,WICHITA,Licensed Center - Child Care Program,16,12/23/19,Full,Y,,,,,,,,,,
1695742,8,Felicia Marie Williams,1639 CABLE RANCH RD,APT 13204,SAN ANTONIO,78245,BEXAR,Listed Family Home,0,9/27/19,Full,Y,,,,,,,,,,
1695743,6,Inner Fire Marital Arts,1816 PEARLAND PKWY,STE 150,PEARLAND,77581,BRAZORIA,Licensed Center - School Age Program,69,1/27/20,Full,Y,,,,,,,,,,
1695744,3,Upbring Head Start Stephenville,1010 S GRAHAM ST,,STEPHENVILLE,76401,ERATH,Licensed Center - Child Care Program,68,1/22/20,Full,Y,,,,,,,,,,
1695763,6,Children's Club House Daycare & Learning Center,1610 MAIN ST,,DANBURY,77534,BRAZORIA,Licensed Center - Child Care Program,106,8/20/19,Full,Y,,,,,,,,,,
1695775,6,A Better Me Learning Academy,315 E DALLAS ST,,FRESNO,77545,FORT BEND,Licensed Center - Child Care Program,12,6/18/20,Full,Y,,,,,,,,,,
1695799,7,Carbrina Kidd,1107 VERDE DR,APT 56,BRYAN,77801,BRAZOS,Listed Family Home,0,9/9/19,Full,Y,,,,,,,,,,
1695805,6,My Childrens Choice Academy #2,2720 WESTERLAND DR,,HOUSTON,77063,HARRIS,Licensed Center - Child Care Program,33,2/11/20,Full,Y,,,,,,,,,,
1695826,4,Jessica  Bozeman,359 QUINCY AVE,,ALTO,75925,CHEROKEE,Listed Family Home,3,8/15/19,Full,Y,,,,,,,,,,
1695839,3,Angelica Rowell,6032 TALLISA DR,,PROVIDENCE VILLAGE,76227,DENTON,Listed Family Home,3,8/19/19,Full,Y,,,,,,,,,,
1695849,3,Ayesha  Abrar,1335 LANTERN FAITH DR,,WYLIE,75098,COLLIN,Listed Family Home,3,8/22/19,Full,Y,,,,,,,,,,
1695850,3,Cassandra  Butler,2321 ABBY LN,,LANCASTER,75134,DALLAS,Listed Family Home,0,8/6/19,Full,Y,,,,,,,,,,
1695852,6,Nhung Huynh,6539 AUTUMN THISTLE DR,,KATY,77449,HARRIS,Registered Child-Care Home,12,9/5/19,Full,Y,,,,,,,,,,
1695856,3,Golden Eagle Program,3721 W CAMP WISDOM RD,,DALLAS,75237,DALLAS,Licensed Center - Child Care Program,83,3/23/20,Full,Y,,,,,,,,,,
1695863,3,Louise Garton,1309 RUSK DR,,ALLEN,75002,COLLIN,Licensed Child-Care Home,12,8/20/19,Full,Y,,,,,,,,,,
1695864,8,Ruby Marie Vargas,3004 MUNTJAC,,SCHERTZ,78154,BEXAR,Registered Child-Care Home,12,9/11/19,Full,Y,,,,,,,,,,
1695868,2,VIP Tots Childcare,4400 WESTWARD DR,,WICHITA FALLS,76308,WICHITA,Licensed Center - Child Care Program,115,2/28/20,Full,Y,,,,,,,,,,
1695873,7,Loving Learning Preschool,1345 NEANS DR,,AUSTIN,78758,TRAVIS,Licensed Child-Care Home,12,9/30/19,Full,N,,,,,,,,,,
1695876,3,Boys & Girls Clubs of Greater Tarrant County Atherton,2101 OVERBROOK DR,,ARLINGTON,76014,TARRANT,Licensed Center - Before/After School Program,136,2/3/20,Full,N,,,,,,,,,,
1695879,6,Childrens Lighthouse - Gleannloch,20004 CHAMPION FOREST DR,,SPRING,77379,HARRIS,Licensed Center - Child Care Program,211,7/15/20,Full,N,,,,,,,,,,
1695883,11,Noelia Solis,1954 N FM 2360,,RIO GRANDE CITY,78582,STARR,Listed Family Home,3,10/3/19,Full,Y,,,,,,,,,,
1695892,3,Breanna   Brown,1717 SHERRYE DR,,PLANO,75074,COLLIN,Listed Family Home,3,9/11/19,Full,Y,,,,,,,,,,
1695893,4,Calvary Kids,502 E CRAWFORD ST,,TALCO,75487,TITUS,Licensed Center - Child Care Program,66,1/21/20,Full,Y,,,,,,,,,,
1695894,3,Spring Creek Private School,14855 SPRING CREEK RD,,DALLAS,75248,DALLAS,Licensed Center - Child Care Program,186,11/3/20,Full,Y,,,,,,,,,,
1695903,3,Kinder Kids Early Education Center,6610 SOUTHWEST BLVD,,BENBROOK,76109,TARRANT,Licensed Center - Child Care Program,48,3/23/20,Full,Y,,,,,,,,,,
1695916,3,Boys & Girls Clubs of Greater Tarrant County- Wimbish,1601 WRIGHT ST,,ARLINGTON,76012,TARRANT,Licensed Center - Before/After School Program,288,3/9/20,Full,N,,,,,,,,,,
1695918,3,New Era Montessori,3502 OLIVIA DR,,WYLIE,75098,COLLIN,Licensed Child-Care Home,12,6/16/20,Full,Y,,,,,,,,,,
1695919-2309,9,CVCOG Junction Head Start,1700 COLLEGE ST,,JUNCTION,76849,KIMBLE,Licensed Center - Child Care Program,34,8/19/19,Full,Y,,,,,,,,,,
1695920,3,Boys & Girls Clubs of Greater Tarrant County Peach,2020 BAIRD FARM RD,,ARLINGTON,76006,TARRANT,Licensed Center - Before/After School Program,102,2/11/20,Full,N,,,,,,,,,,
1695921,3,Adventureland Early Learning Center,1407 FULTON ST,,DENTON,76201,DENTON,Licensed Center - Child Care Program,68,7/16/20,Full,Y,,,,,,,,,,
1695925,3,Windhaven Academy,5900 COMMUNICATIONS PKWY,,PLANO,75093,COLLIN,Licensed Center - Child Care Program,196,3/5/20,Full,Y,,,,,,,,,,
1695926,3,Kiddie Academy of East Frisco,7361 COIT RD,,FRISCO,75035,COLLIN,Licensed Center - Child Care Program,226,1/16/20,Full,Y,,,,,,,,,,
1695958,1,Shala Deann Swenhaugen,1906 INDIANA DR,,PERRYTON,79070,OCHILTREE,Registered Child-Care Home,12,8/27/19,Full,Y,,,,,,,,,,
1695959,6,Matthew 7:24 Early Learning,4795 SEALY ROAD,,SAN FELIPE,77473,AUSTIN,Licensed Center - Child Care Program,75,9/22/20,Full,Y,,,,,,,,,,
1695967,6,Hang Nguyen,7310 EVELYN GROVE DR,,SPRING,77379,HARRIS,Registered Child-Care Home,12,10/25/19,Full,Y,,,,,,,,,,
1695977,6,Betty Renee Freeman,11811 GREENCANYON DR,,HOUSTON,77044,HARRIS,Listed Family Home,0,8/19/19,Full,Y,,,,,,,,,,
1695980,8,Rise & Shine Academy,1213 BANDERA RD,,SAN ANTONIO,78228,BEXAR,Licensed Center - Child Care Program,48,1/31/20,Full,Y,,,,,,,,,,
1695981,3,Poonam  Bhardwaj,11980 SINGING BROOK RD,,FRISCO,75035,COLLIN,Registered Child-Care Home,12,10/28/19,Full,Y,,,,,,,,,,
1695983,6,nCourage Kids - Covenant,8555 CREEKSIDE GREEN DR,,THE WOODLANDS,77389,HARRIS,Licensed Center - Child Care Program,161,2/5/20,Full,Y,,,,,,,,,,
1695988,3,First Baptist Weekday Preschool,1401 CARROLLTON PKWY,,CARROLLTON,75010,DENTON,Licensed Center - Child Care Program,100,8/30/19,Full,N,,,,,,,,,,
1695999,11,Brandy  Walker,3214 SIMMENTAL DR,,LAREDO,78046,WEBB,Listed Family Home,0,9/4/19,Full,N,,,,,,,,,,
1696002,4,Little House Pre-K,1205 TITUS ST,,GILMER,75644,UPSHUR,Licensed Center - Child Care Program,12,1/9/20,Full,Y,,,,,,,,,,
1696038,3,Patrece  Choice,7204 NOHL RANCH RD,,FORT WORTH,76133,TARRANT,Listed Family Home,3,8/14/19,Full,Y,,,,,,,,,,
1696041,3,Mallory  Ramirez,321 JEAN DR,,SPRINGTOWN,76082,PARKER,Listed Family Home,3,8/9/19,Full,Y,,,,,,,,,,
1696043,4,Creative Children's Academy,3108 BELLWOOD RD,,TYLER,75701,SMITH,Licensed Center - Child Care Program,38,7/16/20,Full,N,,,,,,,,,,
1696048,5,The Crayon Box Child Care Center,1107 LOOP 500,,CENTER,75935,SHELBY,Licensed Center - Child Care Program,61,1/21/20,Full,Y,,,,,,,,,,
1696056,7,Sunset After School Program at Rodriguez E,1481 ESPLANADE PARKWAY,,SAN MARCOS,78666,HAYS,Licensed Center - Before/After School Program,70,2/7/20,Full,Y,,,,,,,,,,
1696072,1,Madina Sayidow Aden,2801 N GRAND ST,APT 2303,AMARILLO,79107,POTTER,Listed Family Home,0,9/3/19,Full,N,,,Closed,,,,,,,
1696073,7,Joy Park Montessori Education Children's House,8863 ANDERSON MILL RD,STE 120,AUSTIN,78729,WILLIAMSON,Licensed Center - Child Care Program,34,2/11/20,Full,Y,,,,,,,,,,
1696075,6,KCE Champions LLC @ Beta Flagship,10929 ALMEDA GENOA RD,,HOUSTON,77034,HARRIS,Licensed Center - Before/After School Program,68,2/19/20,Full,Y,,,,,,,,,,
1696085,3,Northridge Child Development Center,6920 BOB O LINK DR,,DALLAS,75214,DALLAS,Licensed Center - Child Care Program,40,10/24/19,Full,Y,,,,,,,,,,
1696103,3,Carolina  Gonzalez,306 E KNOX ST,,ENNIS,75119,ELLIS,Listed Family Home,3,10/2/19,Full,Y,,,,,,,,,,
1696120,7,Cornerstone Connection,1201 NORTHWEST DR,,ROUND ROCK,78664,WILLIAMSON,Licensed Center - Child Care Program,97,9/5/19,Full,Y,,,,,,,,,,
1696121,6,Learning and Beyond Academy,3750 FRY RD,,KATY,77449,HARRIS,Licensed Center - Child Care Program,204,3/2/20,Full,Y,,,,,,,,,,
1696124,3,Kreative Learning With Friends Childcare,231 BLUFFVIEW DR,,MESQUITE,75150,DALLAS,Licensed Child-Care Home,12,3/19/20,Full,Y,,,,,,,,,,
1696126,7,Rima Xoyamayagua,8515 PARKFIELD DR,,AUSTIN,78758,TRAVIS,Listed Family Home,3,8/27/19,Full,Y,,,,,,,,,,
1696132,3,Tying Families Together,1817 TURTLEDOVE DR,,LITTLE ELM,75068,DENTON,Licensed Child-Care Home,12,3/16/20,Full,Y,,,,,,,,,,
1696134,1,Primrose of Amarillo Southwest,4535 VAN WINKLE DR,,AMARILLO,79119,RANDALL,Licensed Center - Child Care Program,232,1/28/20,Full,Y,,,,,,,,,,
1696145,3,Little Texans 2,2929 MONROE ST,,COMMERCE,75428,HUNT,Licensed Center - Child Care Program,61,4/7/20,Full,Y,,,,,,,,,,
1696181,1,Kaysha Allen,7285 US HIGHWAY 83,,SHAMROCK,79079,WHEELER,Listed Family Home,3,9/25/19,Full,Y,,,,,,,,,,
1696219,7,Lil' Rattler Academy,1604 STACEY ST,,NAVASOTA,77868,GRIMES,Licensed Center - Child Care Program,70,3/4/20,Full,Y,,,,,,,,,,
1696223,6,Looscan Elementary Head Start,3800 ROBERTSON ST,,HOUSTON,77009,HARRIS,Licensed Center - Child Care Program,65,2/24/20,Full,N,,,,,,,,,,
1696224,5,Earth Angels Home Child Care,2270 HARRISON ST,,BEAUMONT,77701,JEFFERSON,Licensed Child-Care Home,12,9/20/19,Full,Y,,,,,,,,,,
1696248,6,Weimar Wildcat Academy,402 W CONVERSE ST,,WEIMAR,78962,COLORADO,Licensed Center - Child Care Program,68,3/16/20,Full,Y,,,,,,,,,,
1696252,6,Cynthia Dubose,500 AIRTEX DR,APT 2208,HOUSTON,77090,HARRIS,Listed Family Home,3,2/10/20,Full,Y,,,,,,,,,,
1696256,3,Jessita Zamora,908 CHERRY LAUREL LN,,ARLINGTON,76012,TARRANT,Registered Child-Care Home,12,10/4/19,Full,Y,,,,,,,,,,
1696257,10,Aladdin Day Care II,12311 MONTANA AVE,STE 114,EL PASO,79938,EL PASO,Licensed Center - Child Care Program,30,2/10/20,Full,Y,,,,,,,,,,
1696258,3,Kacy Brandon,4515 ROSEMONT AVE,,GRAND PRAIRIE,75052,DALLAS,Registered Child-Care Home,12,9/26/19,Full,Y,,,,,,,,,,
1696265,6,Kelle  Hatcher,7911 TAWNY BLUFF CT,,CYPRESS,77433,HARRIS,Registered Child-Care Home,12,9/24/19,Full,Y,,,,,,,,,,
1696275,10,Casa Infantil Montessori,2517 MONTANA AVE,,EL PASO,79903,EL PASO,Licensed Center - Child Care Program,34,7/6/20,Full,Y,,,,,,,,,,
1696279,6,Golden Eagle Taekwondo - ASP,6420 FM 1463 RD,STE 400,KATY,77494,FORT BEND,Licensed Center - School Age Program,80,1/8/21,Full,Y,,,,,,,,,,
1696281,3,"Patient Hearts Academy-Home Learning Child Care, LLC",436 WILLOWLAKE DR,,LITTLE ELM,75068,DENTON,Licensed Child-Care Home,12,6/11/20,Full,Y,,,,,,,,,,
1696298,3,Tracy Tesauro,1608 LOST CREEK DR,,ALLEN,75002,COLLIN,Listed Family Home,3,8/27/19,Full,Y,,,,,,,,,,
1696320,1,Nancy Martinez,1303 FLOYDADA ST,,PLAINVIEW,79072,HALE,Listed Family Home,3,10/11/19,Full,Y,,,,,,,,,,
1696321,3,Shannon Wallace,33 SANTA ROSA CIR,,WYLIE,75098,COLLIN,Listed Family Home,3,8/20/19,Full,Y,,,,,,,,,,
1696323,6,YMCA Afterschool @ Reve Prepatory,4315 W FUQUA ST,,HOUSTON,77045,HARRIS,Licensed Center - Before/After School Program,40,3/11/20,Full,Y,,,,,,,,,,
1696326,7,Brittany  Lammerts,3205 WILDRYE DR,,COLLEGE STATION,77845,BRAZOS,Listed Family Home,3,9/16/19,Full,Y,,,,,,,,,,
1696328,10,Estela Espinoza,14152 HONEY POINT DR,,EL PASO,79938,EL PASO,Registered Child-Care Home,12,10/10/19,Full,Y,,,,,,,,,,
1696340,7,Primrose School of Austin at Mueller,2200 ALDRICH ST,STE 130,AUSTIN,78723,TRAVIS,Licensed Center - Child Care Program,140,2/20/20,Full,,,,,,,,,,,
1696371,3,Rhonda  Hill,371 MUSTANG DR,,SAGINAW,76179,TARRANT,Listed Family Home,3,8/19/19,Full,Y,,,,,,,,,,
1696375,3,Karen  Long-Desmit,2861 HIGH MEADOW DR,,LITTLE ELM,75068,DENTON,Listed Family Home,0,8/19/19,Full,Y,,,,,,,,,,
1696379,3,Venita  Jones,4748 SAINT FRANCIS AVE,APT 1203,DALLAS,75227,DALLAS,Listed Family Home,3,8/19/19,Full,N,Closed,,,,,,,,,
1696381,3,Anita   Allgood,1896 COUNTY ROAD 1076,,CELESTE,75423,HUNT,Listed Family Home,3,9/9/19,Full,Y,,,,,,,,,,
1696386,6,Adrianne  Sisk,16211 RANCHLAND LN,,CYPRESS,77429,HARRIS,Listed Family Home,3,10/25/19,Full,N,,,,,,,,,,
1696389,3,Latosha   Jordan,1896 COUNTY ROAD 1076 (B),,CELESTE,75423,HUNT,Listed Family Home,3,9/9/19,Full,Y,,,,,,,,,,
1696402,6,Pariss Carlene Raven,15019 KINGSBRIDGE WAY,,HOUSTON,77083,FORT BEND,Registered Child-Care Home,12,9/30/19,Full,Y,,,,,,,,,,
1696404,6,Mia's Learning Academy,13239 BELLAIRE BLVD,,HOUSTON,77083,HARRIS,Licensed Center - Child Care Program,83,2/6/20,Full,Y,,,,,,,,,,
1696405,6,Fizza Vazir,3202 SERENE OAK DR,,SUGAR LAND,77478,FORT BEND,Listed Family Home,3,10/18/19,Full,Y,,,,,,,,,,
1696406,6,Building Blocks Academy,2619 MAIN ST,,LA MARQUE,77568,GALVESTON,Licensed Center - Child Care Program,108,10/11/19,Full,Y,,,,,,,,,,
1696408,6,By Faith Childcare,6934 STERLING MEADOW DR,,KATY,77449,HARRIS,Licensed Child-Care Home,12,3/2/20,Full,Y,,,,,,,,,,
1696429,3,Daisy School,3443 MCCART AVE,,FORT WORTH,76110,TARRANT,Licensed Center - Child Care Program,85,3/24/20,Full,Y,,,,,,,,,,
1696433,11,Heather Marie Calderon,2114 OSO BAY PRESERVE DR,,CORPUS CHRISTI,78414,NUECES,Listed Family Home,3,9/19/19,Full,Y,,,,,,,,,,
1696445,7,La Tribu Rural,9000 MANCHACA RD,,AUSTIN,78748,TRAVIS,Licensed Center - Child Care Program,89,9/6/19,Full,Y,,,,,,,,,,
1696465,7,Learn N Play Bilingual Preschool,5981 MALTA CIR,,ROUND ROCK,78665,WILLIAMSON,Licensed Child-Care Home,12,3/10/20,Full,Y,,,,,,,,,,
1696472,3,Tanya Lynn Lawrence,940 NOKOMIS RD,,LANCASTER,75146,DALLAS,Registered Child-Care Home,12,11/6/19,Full,Y,,,,,,,,,,
1696474,1,Victoria  Newsome,1304 MILWAUKEE ST,,PLAINVIEW,79072,HALE,Listed Family Home,0,10/23/19,Full,N,,,,,,,,,,
1696481,2,Lindy Donnell Marshall,506 SOUTH OAK,,ARCHER CITY,76351,ARCHER,Registered Child-Care Home,12,9/6/19,Full,Y,,,,,,,,,,
1696483,7,Monica Yanet Marty,2409 LEDGESTONE DR,,KILLEEN,76549,BELL,Registered Child-Care Home,12,10/1/19,Full,Y,,,,,,,,,,
1696485,3,Precious Lambs Learning Center Inc,723 W PLEASANT RUN RD,STE 300,LANCASTER,75146,DALLAS,Licensed Center - Child Care Program,58,3/19/20,Full,Y,,,,,,,,,,
1696486,9,Cathy Ward,2723 N TORRANCE AVE,,ODESSA,79764,ECTOR,Listed Family Home,3,8/27/19,Closed,N,,,,,,,,,,
1696491,3,Cassandra  Boone,1375 CY BLACKBURN CIR,,DALLAS,75217,DALLAS,Listed Family Home,3,8/19/19,Full,Y,,,,,,,,,,
1696500,2,Shelley Leblanc,9 BURNETT,,MERKEL,79536,TAYLOR,Listed Family Home,3,10/16/19,Full,Y,,,,,,,,,,
1696518,2,Brandi Ann Steelman,900 E WALCOTT AVE,,COMANCHE,76442,COMANCHE,Listed Family Home,3,10/3/19,Full,Y,,,,,,,,,,
1696520,6,TW Davis YMCA-Culver Elementary,3131 LEARNING TREE LANE,,ROSENBERG,77471,FORT BEND,Licensed Center - Before/After School Program,60,3/5/20,Full,Y,,,,,,,,,,
1696521,10,Sun City Child Development Center,9135 STAHALA DR,,EL PASO,79924,EL PASO,Licensed Center - Child Care Program,137,2/11/20,Full,Y,,,,,,,,,,
1696525,3,Estrellita  Bell,6004 OAKLAND BEND DR,APT 111,FORT WORTH,76112,TARRANT,Listed Family Home,0,9/10/19,Full,Y,,,,,,,,,,
1696544,2,Mel's Munchkins,905 N AVENUE E,,HASKELL,79521,HASKELL,Licensed Child-Care Home,12,1/27/20,Full,Y,,,,,,,,,,
1696554,6,Sarah Maude Piper,7327 PAVILION DR,,HOUSTON,77083,HARRIS,Registered Child-Care Home,11,9/27/19,Full,Y,,,,,,,,,,
1696581,3,Endless Discoveries Glen Rose,200 COMMERCE ST,,GLEN ROSE,76043,SOMERVELL,Licensed Center - Child Care Program,138,2/28/20,Full,Y,,,,,,,,,,
1696585,11,Little Leaders Center,10541 W MONTE CRISTO RD,,EDINBURG,78541,HIDALGO,Licensed Center - Child Care Program,29,12/3/20,Full,Y,,,,,,,,,,
1696604,8,Alicia Carrillo,43 ADKINS RDG,,SAN ANTONIO,78239,BEXAR,Registered Child-Care Home,8,11/18/19,Full,Y,,,,,,,,,,
1696616-5211,6,AVANCE Bammel Head Start,17309 RED OAK DR,,HOUSTON,77090,HARRIS,Licensed Center - Child Care Program,88,4/1/21,Initial,N,,,,,,,,Y,,
1696623,1,Wee Care,6412 HURST ST,,AMARILLO,79109,RANDALL,Licensed Child-Care Home,12,8/29/19,Full,Y,,,,,,,,,,
1696627-5211,6,AVANCE-Eickenroht Head Start,15252 GRAND POINT RD,,HOUSTON,77090,HARRIS,Licensed Center - Child Care Program,88,4/1/21,Initial,N,,,,,,,,Y,,
1696631,1,Texas Premier Childcare,2455 W INTERSTATE 40,,AMARILLO,79109,POTTER,Licensed Center - Child Care Program,156,2/28/20,Full,Y,,,,,,,,,,
1696640,8,Denise Menchaca-Guajardo,401 DIVISION AVE,,SAN ANTONIO,78214,BEXAR,Registered Child-Care Home,11,11/12/19,Full,Y,,,,,,,,,,
1696656,11,Kinder Academy Daycare,2308 W MILE 5 RD,,MISSION,78574,HIDALGO,Licensed Center - Child Care Program,28,10/6/20,Full,Y,,,,,,,,,,
1696665,8,No Bui,816 SILVER FOX,,CIBOLO,78108,GUADALUPE,Listed Family Home,3,10/18/19,Full,Y,,,,,,,,,,
1696666,10,Sandra  Bernal,1313 VIKKI CARR LN,,EL PASO,79936,EL PASO,Listed Family Home,0,10/8/19,Full,Y,,,,,,,,,,
1696674,6,Little Texans Childcare Center,2211 AIRPORT RD,,CONROE,77301,MONTGOMERY,Licensed Center - Child Care Program,95,3/12/20,Full,Y,,,,,,,,,,
1696680,7,Lauren  Patterson,121 S BISHOP ST,,SAN MARCOS,78666,HAYS,Listed Family Home,3,10/16/19,Full,N,,,,,,,,,,
1696681,3,Alisia  Montgomery,901 W 1ST ST,APT 1213,FORT WORTH,76102,TARRANT,Registered Child-Care Home,8,11/1/19,Full,Y,,,,,,,,,,
1696683,1,Sylvia Martinez,3115 NIGHTINGALE RD,,LUBBOCK,79407,HOCKLEY,Listed Family Home,3,10/7/19,Full,N,,,,,,,,,,
1696705,11,"Angel Wings Learning Center, LLC",1005 E SCHUNIOR ST,,EDINBURG,78541,HIDALGO,Licensed Center - Child Care Program,134,1/29/20,Full,Y,,,,,,,,,,
1696724,6,Annie Clay,8619 DALLAS ACORN ST,,HOUSTON,77078,HARRIS,Listed Family Home,0,8/20/19,Full,Y,,,,,,,,,,
1696726,6,The Olive Branch Child Development Center,15211 FONDREN RD,STE B400,MISSOURI CITY,77489,FORT BEND,Licensed Center - Child Care Program,47,1/8/20,Full,Y,,,,,,,,,,
1696743,6,Ivy Kids Early Learning Center Young Ranch,1423 HIDDEN VILLAGE DRIVE,,KATY,77494,WALLER,Licensed Center - Child Care Program,270,2/12/20,Full,Y,,,,,,,,,,
1696745,8,Christie N Kidz,2206 N RANCH ESTATES BLVD,,NEW BRAUNFELS,78130,GUADALUPE,Licensed Child-Care Home,12,2/11/20,Full,Y,,,,,,,,,,
1696747,11,Valley Kidz Academy,2400 QUINCE AVE,,MCALLEN,78501,HIDALGO,Licensed Center - Child Care Program,78,4/21/20,Full,Y,,,,,,,,,,
1696750,4,Clara  Ketner,250 W AUSTIN AVE,,COOPER,75432,DELTA,Registered Child-Care Home,12,9/6/19,Full,N,,,,Y,,,,,,
